范围,项目,命名空间,类型,成员,可维护性指数,圈复杂度,继承深度,类耦合度,源代码行,可执行代码行
程序集,PersonalTools (Release), , , ,82,2144,9,272,45009,3907
命名空间,PersonalTools (Release),PersonalTools, , ,72,223,9,76,1794,501
类型,PersonalTools (Release),PersonalTools,App, ,79,3,3,7,44,10
成员,PersonalTools (Release),PersonalTools,App,OnStartup(StartupEventArgs) : void,100,1,,2,6,1
成员,PersonalTools (Release),PersonalTools,App,InitializeComponent() : void,80,1,,4,13,3
成员,PersonalTools (Release),PersonalTools,App,Main() : void,73,1,,3,11,6
类型,PersonalTools (Release),PersonalTools,GlobalState, ,82,3,1,2,28,4
成员,PersonalTools (Release),PersonalTools,GlobalState,CurrentLanguageType : LanguageType,100,2,,1,5,2
成员,PersonalTools (Release),PersonalTools,GlobalState,CurrentLanguageType.get() : LanguageType,100,1,,1,1,1
成员,PersonalTools (Release),PersonalTools,GlobalState,GetCurrentLanguageType() : LanguageType,81,1,,2,16,2
类型,PersonalTools (Release),PersonalTools,MainWindow, ,73,4,9,11,46,15
成员,PersonalTools (Release),PersonalTools,MainWindow,MainWindow(),88,1,,2,6,2
成员,PersonalTools (Release),PersonalTools,MainWindow,_contentLoaded : bool,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools,MainWindow,InitializeComponent() : void,71,2,,5,18,6
成员,PersonalTools (Release),PersonalTools,MainWindow,"IComponentConnector.Connect(int, object) : void",70,1,,5,9,7
类型,PersonalTools (Release),PersonalTools,PEParser, ,58,104,1,40,874,260
成员,PersonalTools (Release),PersonalTools,PEParser,"ContentParsers : Action<FileStream, BinaryReader, PEInfo>[]",83,0,,8,8,1
成员,PersonalTools (Release),PersonalTools,PEParser,ParsePEFile(string) : PEInfo,69,1,,7,17,6
成员,PersonalTools (Release),PersonalTools,PEParser,"ParseHeaders(FileStream, BinaryReader, PEInfo) : void",51,9,,12,49,18
成员,PersonalTools (Release),PersonalTools,PEParser,"ParseContentDirectories(FileStream, BinaryReader, PEInfo) : void",85,2,,5,10,2
成员,PersonalTools (Release),PersonalTools,PEParser,"ParseImportTable(FileStream, BinaryReader, PEInfo) : void",69,1,,10,28,6
成员,PersonalTools (Release),PersonalTools,PEParser,"ParseStandardImportTable(FileStream, BinaryReader, PEInfo) : void",51,9,,11,60,18
成员,PersonalTools (Release),PersonalTools,PEParser,IsTerminatorDescriptor(IMAGEIMPORTDESCRIPTOR) : bool,85,5,,1,5,1
成员,PersonalTools (Release),PersonalTools,PEParser,"ReadStringAtRva(FileStream, BinaryReader, PEInfo, uint) : (T1, T2)<long, string>",64,3,,7,18,8
成员,PersonalTools (Release),PersonalTools,PEParser,"ParseImportFunctions(FileStream, BinaryReader, PEInfo, IMAGEIMPORTDESCRIPTOR, string) : void",58,4,,14,45,12
成员,PersonalTools (Release),PersonalTools,PEParser,"WalkThunkTable(FileStream, BinaryReader, PEInfo, long, bool, string, bool) : List<ImportFunctionInfo>",54,7,,7,44,16
成员,PersonalTools (Release),PersonalTools,PEParser,"AddDependencyIfMissing(PEInfo, string) : void",76,2,,5,7,3
成员,PersonalTools (Release),PersonalTools,PEParser,"SetImportFunc(ImportFunctionInfo, string, int, bool) : void",78,1,,1,6,3
成员,PersonalTools (Release),PersonalTools,PEParser,"ImportByName(List<IMAGESECTIONHEADER>, ulong, FileStream, BinaryReader, ImportFunctionInfo) : void",55,5,,9,40,15
成员,PersonalTools (Release),PersonalTools,PEParser,"ParseDelayLoadImportTable(FileStream, BinaryReader, PEInfo) : List<ImportFunctionInfo>",47,11,,13,65,26
成员,PersonalTools (Release),PersonalTools,PEParser,ReadDelayLoadDescriptor(BinaryReader) : IMAGEDELAYLOADDESCRIPTOR,84,1,,2,14,1
成员,PersonalTools (Release),PersonalTools,PEParser,"ParseExportTable(FileStream, BinaryReader, PEInfo) : void",47,8,,16,86,23
成员,PersonalTools (Release),PersonalTools,PEParser,"ReadUInt32ListAtRva(FileStream, BinaryReader, List<IMAGESECTIONHEADER>, uint, uint) : List<uint>",57,7,,5,30,13
成员,PersonalTools (Release),PersonalTools,PEParser,"ReadUInt16ListAtRva(FileStream, BinaryReader, List<IMAGESECTIONHEADER>, uint, uint) : List<ushort>",57,7,,5,30,13
成员,PersonalTools (Release),PersonalTools,PEParser,"BuildExportFunctionNameMap(FileStream, BinaryReader, List<IMAGESECTIONHEADER>, List<uint>, List<ushort>) : Dictionary<int, string>",56,5,,7,32,15
成员,PersonalTools (Release),PersonalTools,PEParser,ParseDosHeader(BinaryReader) : IMAGEDOSHEADER,80,1,,2,33,1
成员,PersonalTools (Release),PersonalTools,PEParser,ParseNtHeaders(BinaryReader) : IMAGENTHEADERS,77,1,,3,24,2
成员,PersonalTools (Release),PersonalTools,PEParser,"ParseOptionalHeader(BinaryReader, ushort) : IMAGEOPTIONALHEADER",48,1,,3,56,24
成员,PersonalTools (Release),PersonalTools,PEParser,"ValidateOptionalHeaderMagic(ushort, ushort) : bool",64,5,,3,27,9
成员,PersonalTools (Release),PersonalTools,PEParser,"ReadImageBaseFields(BinaryReader, IMAGEOPTIONALHEADER, bool) : void",71,2,,2,16,5
成员,PersonalTools (Release),PersonalTools,PEParser,"ReadStackHeapFields(BinaryReader, IMAGEOPTIONALHEADER, bool) : void",63,2,,2,20,9
